filename,product_name,full_path,url,last_modified,size_bytes
10 A.M. Tee Time_15.pdf,10 A.M. Tee Time,metadata/PrintFiles/10 A.M. Tee Time_15.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/10 A.M. Tee Time_15.pdf,2024-11-24,3977405
10 A.M. Tee Time_6.pdf,10 A.M. Tee Time,metadata/PrintFiles/10 A.M. Tee Time_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/10 A.M. Tee Time_6.pdf,2024-11-24,4019528
12 Trees of Christmas_15.pdf,12 Trees of Christmas,metadata/PrintFiles/12 Trees of Christmas_15.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/12 Trees of Christmas_15.pdf,2024-11-24,3472647
12 Trees of Christmas_6.pdf,12 Trees of Christmas,metadata/PrintFiles/12 Trees of Christmas_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/12 Trees of Christmas_6.pdf,2024-11-24,3493570
19th Hole_15.pdf,19th Hole,metadata/PrintFiles/19th Hole_15.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/19th Hole_15.pdf,2024-11-24,884007
19th Hole_6.pdf,19th Hole,metadata/PrintFiles/19th Hole_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/19th Hole_6.pdf,2024-11-24,893466
2-2-1_6.pdf,2-2-1,metadata/PrintFiles/2-2-1_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/2-2-1_6.pdf,2025-01-06,1022443
25 Meter Dash_15.pdf,25 Meter Dash,metadata/PrintFiles/25 Meter Dash_15.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/25 Meter Dash_15.pdf,2024-11-24,2063880
25 Meter Dash_6.pdf,25 Meter Dash,metadata/PrintFiles/25 Meter Dash_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/25 Meter Dash_6.pdf,2024-11-24,2081251
3 3_15ft.pdf,3 3,metadata/PrintFiles/3 3_15ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/3 3_15ft.pdf,2025-03-03,7721390
3 3_6ft.pdf,3 3,metadata/PrintFiles/3 3_6ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/3 3_6ft.pdf,2025-03-03,7700797
30A Swims_15.pdf,30A Swims,metadata/PrintFiles/30A Swims_15.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/30A Swims_15.pdf,2024-11-24,1567559
30A Swims_6.pdf,30A Swims,metadata/PrintFiles/30A Swims_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/30A Swims_6.pdf,2024-11-24,1605616
360 Victory_15.pdf,360 Victory,metadata/PrintFiles/360 Victory_15.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/360 Victory_15.pdf,2025-01-15,2663679
360 Victory_6.pdf,360 Victory,metadata/PrintFiles/360 Victory_6.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/360 Victory_6.pdf,2025-01-15,2678714
36595_15ft.pdf,36595,metadata/PrintFiles/36595_15ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/36595_15ft.pdf,2025-04-02,7721394
36595_6ft.pdf,36595,metadata/PrintFiles/36595_6ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/36595_6ft.pdf,2025-04-02,7700801
564654jhfjhfjhgf_15ft.pdf,564654jhfjhfjhgf,metadata/PrintFiles/564654jhfjhfjhgf_15ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/564654jhfjhfjhgf_15ft.pdf,2025-04-08,7721407
564654jhfjhfjhgf_6ft.pdf,564654jhfjhfjhgf,metadata/PrintFiles/564654jhfjhfjhgf_6ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/564654jhfjhfjhgf_6ft.pdf,2025-04-08,7700814
654654654_15ft.pdf,654654654,metadata/PrintFiles/654654654_15ft.pdf,https://compoundfoundry.s3.amazonaws.com/metadata/PrintFiles/654654654_15ft.pdf,2025-03-16,7721391
